,movie_id,start_year,genres,averagerating,numvotes,title,studio,domestic_gross,foreign_gross
178,tt1086772,2014,"Comedy,Romance",6.5,106491,Blended,WB,46300000,81700000
179,tt1091191,2013,"Action,Biography,Drama",7.5,246641,Lone Survivor,Uni.,125100000,29700000
180,tt1091821,2012,Animation,5.6,223,Noah,Par.,101200000,261400000
181,tt1959490,2014,"Action,Adventure,Drama",5.8,229326,Noah,Par.,101200000,261400000
182,tt2109176,2011,"Drama,Thriller",6.5,12,Noah,Par.,101200000,261400000
183,tt1092026,2011,"Adventure,Comedy,Sci-Fi",7.0,220567,Paul,Uni.,37400000,60600000
184,tt5132504,2016,Drama,4.8,6,Paul,Uni.,37400000,60600000
185,tt1092634,2010,"Crime,Drama,Mystery",6.4,8662,Shanghai,Wein.,46400,9200000
186,tt2072227,2012,"Crime,Mystery,Thriller",7.2,9047,Shanghai,Wein.,46400,9200000
187,tt1093357,2011,"Action,Adventure,Horror",4.9,55071,The Darkest Hour,Sum.,21400000,43200000
188,tt4249090,2014,"Documentary,News",6.4,8,The Darkest Hour,Sum.,21400000,43200000
189,tt1094597,2010,"Drama,Horror,Thriller",5.8,45,The Quiet Ones,LGF,8500000,9300000
190,tt2235779,2014,"Horror,Mystery,Thriller",5.1,17967,The Quiet Ones,LGF,8500000,9300000
191,tt1103153,2010,"Action,Comedy,Romance",5.4,82237,Killers,LGF,47100000,51100000
192,tt2409300,2014,"Action,Crime,Drama",6.5,4472,Killers,LGF,47100000,51100000
193,tt1109624,2014,"Adventure,Comedy,Family",7.2,84679,Paddington,W/Dim.,76300000,191800000
194,tt1111235,2010,Horror,4.6,77,Trance,FoxS,2300000,21900000
195,tt1924429,2013,"Crime,Drama,Mystery",6.9,104951,Trance,FoxS,2300000,21900000
196,tt1120985,2010,"Drama,Romance",7.4,170089,Blue Valentine,Wein.,9700000,2600000
197,tt1121096,2014,"Action,Adventure,Fantasy",5.5,66565,Seventh Son,Uni.,17200000,97000000
198,tt1124035,2011,"Drama,Thriller",7.1,207417,The Ides of March,Sony,41000000,35000000
199,tt1124037,2016,"Action,Biography,Drama",6.9,45135,Free State of Jones,STX,20800000,4200000
200,tt1126590,2014,"Biography,Crime,Drama",7.0,77447,Big Eyes,Wein.,14500000,14800000
201,tt1126591,2010,"Drama,Music,Musical",6.4,71021,Burlesque,SGem,39400000,50100000
202,tt1126618,2010,"Comedy,Drama,Romance",6.5,67367,Morning Glory,Par.,31000000,29000000
203,tt1130884,2010,"Mystery,Thriller",8.1,1005960,Shutter Island,Par.,128000000,166800000
204,tt1132449,2012,"Comedy,Drama,Romance",4.8,10555,Lay the Favorite,RTWC,21000,1600000
205,tt1133985,2011,"Action,Adventure,Sci-Fi",5.5,252281,Green Lantern,WB,116600000,103300000
206,tt1135084,2010,"Action,Crime,Thriller",6.2,53377,Takers,SGem,57700000,11300000
207,tt1139328,2010,"Drama,Mystery,Thriller",7.2,148274,The Ghost Writer,Sum.,15500000,44700000
208,tt1142977,2012,"Animation,Comedy,Family",7.0,89489,Frankenweenie,BV,35300000,46200000
209,tt1143896,2010,"Biography,Crime,Drama",5.9,4664,Holy Rollers,FInd.,303000,305000
210,tt1152398,2011,"Drama,Fantasy,Romance",5.6,72599,Beastly,CBS,27900000,15300000
211,tt1152822,2010,Documentary,6.4,6466,Freakonomics,Magn.,101000,16400
212,tt1152830,2011,"Comedy,Drama",6.9,87,The Joneses,RAtt.,1500000,5500000
213,tt4360484,2016,"Biography,Documentary",5.9,15,The Joneses,RAtt.,1500000,5500000
214,tt1155076,2010,"Action,Drama,Family",6.2,146401,The Karate Kid,Sony,176600000,182500000
215,tt1161864,2011,"Drama,Horror,Mystery",6.0,85604,The Rite,WB (NL),33000000,63000000
216,tt1164999,2010,"Drama,Romance",7.5,80382,Biutiful,RAtt.,5100000,20000000
217,tt1170358,2013,"Adventure,Fantasy",7.8,565563,The Hobbit: The Desolation of Smaug,WB (NL),258399999,700000000
218,tt1171222,2013,Comedy,5.1,8296,Baggage Claim,FoxS,21600000,887000
219,tt1172991,2010,Drama,6.8,41139,The Company Men,Wein.,4400000,441000
220,tt1175709,2010,"Crime,Drama,Mystery",6.3,49684,All Good Things,Magn.,582000,62500
221,tt1178665,2015,"Adventure,Biography,Comedy",6.3,22033,A Walk in the Woods,BG,29500000,8000000
222,tt1179034,2010,"Action,Crime,Thriller",6.5,107079,From Paris with Love,LGF,24100000,28700000
223,tt1179933,2016,"Drama,Horror,Mystery",7.2,260383,10 Cloverfield Lane,Par.,72100000,38100000
224,tt1181791,2010,"Action,Adventure,Drama",6.4,41103,Black Death,Magn.,22600,243000
225,tt1182350,2010,"Comedy,Drama,Romance",6.3,41608,You Will Meet a Tall Dark Stranger,SPC,3200000,31000000
226,tt1183923,2010,Drama,7.0,22210,Welcome to the Rileys,Gold.,159000,158000
227,tt1185416,2010,"Comedy,Romance",5.6,57396,When in Rome,BV,32700000,10400000
228,tt1189340,2011,"Crime,Drama,Thriller",7.3,196109,The Lincoln Lawyer,LGF,58000000,17000000
229,tt1192628,2011,"Adventure,Animation,Comedy",7.2,215761,Rango,Par.,123500000,122200000
230,tt1194173,2012,"Action,Adventure,Thriller",6.7,268678,The Bourne Legacy,Uni.,113200000,162900000
231,tt1194417,2010,"Biography,Comedy,Crime",6.2,16191,Casino Jack,ATO,1000000,40700
232,tt1195478,2012,"Comedy,Romance",6.2,88469,The Five-Year Engagement,Uni.,28800000,25100000
233,tt1196141,2010,"Comedy,Drama,Family",6.2,38640,Diary of a Wimpy Kid,Fox,64000000,11700000
234,tt1196340,2010,"Drama,Thriller",6.6,6006,Inhale,IFC,4100,51000
235,tt1196956,2013,"Biography,Comedy,Drama",6.8,10677,One Chance,Wein.,101000,10800000
236,tt1198101,2010,"Action,Drama,Romance",6.1,11353,Kites,Relbig.,1600000,1300000
237,tt1204342,2011,"Adventure,Comedy,Family",7.1,82752,The Muppets,BV,88600000,76600000
238,tt1204975,2013,"Comedy,Drama",6.6,121409,Last Vegas,CBS,63900000,70500000
239,tt1204977,2014,"Horror,Mystery,Thriller",4.5,44054,Ouija,Uni.,50900000,52700000
240,tt1205537,2014,"Action,Drama,Thriller",6.2,114913,Jack Ryan: Shadow Recruit,Par.,50600000,84900000
241,tt1206543,2013,"Crime,Drama,Thriller",6.8,99037,Out of the Furnace,Rela.,11300000,4300000
242,tt1210166,2011,"Biography,Drama,Sport",7.6,326657,Moneyball,Sony,75600000,34600000
243,tt1210819,2013,"Action,Adventure,Western",6.4,208827,The Lone Ranger,BV,89300000,171200000
244,tt1211837,2016,"Action,Adventure,Fantasy",7.5,514510,Doctor Strange,BV,232600000,445100000
